AgentID,RepNumber,AgentType
1-E,1,External
2-E,2,External
3-E,3,External
4-E,4,External
5-E,5,External
6-E,6,External
7-E,7,External
8-E,8,External
9-E,9,External
10-E,10,External
11-E,11,External
12-E,12,External
13-E,13,External
14-E,14,External
15-E,15,External
16-E,16,External
1-I,1,Internal
2-I,2,Internal
3-I,3,Internal
4-I,4,Internal
5-I,5,Internal
6-I,6,Internal
7-I,7,Internal
8-I,8,Internal
9-I,9,Internal
10-I,10,Internal
11-I,11,Internal
12-I,12,Internal
13-I,13,Internal
14-I,14,Internal
15-I,15,Internal
16-I,16,Internal
